emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
🔯,dotted six-pointed star,dotted | fortune | jewish | judaism | six-pointed | star,dotted six-pointed star | dotted | fortune | jewish | judaism | six-pointed | star,religion,Symbols,religion,dotted six-pointed star
🔰,Japanese symbol for beginner,beginner | chevron | green | Japanese | leaf | symbol | tool | yellow,Japanese symbol for beginner | beginner | chevron | green | Japanese | leaf | symbol | tool | yellow,symbols,Symbols,other-symbol,Japanese symbol for beginner
🔱,trident emblem,anchor | emblem | poseidon | ship | tool | trident,trident emblem | anchor | emblem | poseidon | ship | tool | trident,symbols,Symbols,other-symbol,trident emblem
🔲,black square button,black | button | geometric | square,black square button | black | button | geometric | square,geometric,Symbols,geometric,black square button
🔳,white square button,button | geometric | outlined | square | white,white square button | button | geometric | outlined | square | white,geometric,Symbols,geometric,white square button
🔴,red circle,circle | geometric | red,red circle | circle | geometric | red,geometric,Symbols,geometric,red circle
🔵,blue circle,blue | circle | geometric,blue circle | blue | circle | geometric,geometric,Symbols,geometric,blue circle
🔶,large orange diamond,diamond | geometric | large | orange,large orange diamond | diamond | geometric | large | orange,geometric,Symbols,geometric,large orange diamond
🔷,large blue diamond,blue | diamond | geometric | large,large blue diamond | blue | diamond | geometric | large,geometric,Symbols,geometric,large blue diamond
🔸,small orange diamond,diamond | geometric | orange | small,small orange diamond | diamond | geometric | orange | small,geometric,Symbols,geometric,small orange diamond
🔹,small blue diamond,blue | diamond | geometric | small,small blue diamond | blue | diamond | geometric | small,geometric,Symbols,geometric,small blue diamond
🔺,red triangle pointed up,geometric | pointed | red | triangle | up,red triangle pointed up | geometric | pointed | red | triangle | up,geometric,Symbols,geometric,red triangle pointed up
🔻,red triangle pointed down,down | geometric | pointed | red | triangle,red triangle pointed down | down | geometric | pointed | red | triangle,geometric,Symbols,geometric,red triangle pointed down
🔼,upwards button,arrow | button | red | up | upwards,upwards button | arrow | button | red | up | upwards,av symbol,Symbols,av-symbol,upwards button
🔽,downwards button,arrow | button | down | downwards | red,downwards button | arrow | button | down | downwards | red,av symbol,Symbols,av-symbol,downwards button
🕉,om,Hindu | om | religion,om | Hindu | om | religion,religion,Symbols,religion,om
🕊,dove,bird | dove | fly | ornithology | peace,dove | bird | dove | fly | ornithology | peace,animal bird,Animals & Nature,animal-bird,dove
🕋,kaaba,hajj | islam | kaaba | Muslim | religion | umrah,kaaba | hajj | islam | kaaba | Muslim | religion | umrah,place religious,Travel & Places,place-religious,kaaba
🕌,mosque,islam | masjid | mosque | Muslim | religion,mosque | islam | masjid | mosque | Muslim | religion,place religious,Travel & Places,place-religious,mosque
🕍,synagogue,Jew | Jewish | judaism | religion | synagogue | temple,synagogue | Jew | Jewish | judaism | religion | synagogue | temple,place religious,Travel & Places,place-religious,synagogue
🕎,menorah,candelabrum | candlestick | hanukkah | jewish | judaism | menorah | religion,menorah | candelabrum | candlestick | hanukkah | jewish | judaism | menorah | religion,religion,Symbols,religion,menorah
🕐,one o’clock,1 | 1:00 | clock | o’clock | one | time,one o’clock | 1 | 1:00 | clock | o’clock | one | time,time,Travel & Places,time,one o’clock
🕑,two o’clock,2 | 2:00 | clock | o’clock | time | two,two o’clock | 2 | 2:00 | clock | o’clock | time | two,time,Travel & Places,time,two o’clock
🕒,three o’clock,3 | 3:00 | clock | o’clock | three | time,three o’clock | 3 | 3:00 | clock | o’clock | three | time,time,Travel & Places,time,three o’clock
🕓,four o’clock,4 | 4:00 | clock | four | o’clock | time,four o’clock | 4 | 4:00 | clock | four | o’clock | time,time,Travel & Places,time,four o’clock
🕔,five o’clock,5 | 5:00 | clock | five | o’clock | time,five o’clock | 5 | 5:00 | clock | five | o’clock | time,time,Travel & Places,time,five o’clock
🕕,six o’clock,6 | 6:00 | clock | o’clock | six | time,six o’clock | 6 | 6:00 | clock | o’clock | six | time,time,Travel & Places,time,six o’clock
🕖,seven o’clock,0 | 7 | 7:00 | clock | o’clock | seven,seven o’clock | 0 | 7 | 7:00 | clock | o’clock | seven,time,Travel & Places,time,seven o’clock
🕗,eight o’clock,8 | 8:00 | clock | eight | o’clock | time,eight o’clock | 8 | 8:00 | clock | eight | o’clock | time,time,Travel & Places,time,eight o’clock
🕘,nine o’clock,9 | 9:00 | clock | nine | o’clock | time,nine o’clock | 9 | 9:00 | clock | nine | o’clock | time,time,Travel & Places,time,nine o’clock
🕙,ten o’clock,0 | 10 | 10:00 | clock | o’clock | ten,ten o’clock | 0 | 10 | 10:00 | clock | o’clock | ten,time,Travel & Places,time,ten o’clock
🕚,eleven o’clock,11 | 11:00 | clock | eleven | o’clock | time,eleven o’clock | 11 | 11:00 | clock | eleven | o’clock | time,time,Travel & Places,time,eleven o’clock
🕛,twelve o’clock,12 | 12:00 | clock | o’clock | time | twelve,twelve o’clock | 12 | 12:00 | clock | o’clock | time | twelve,time,Travel & Places,time,twelve o’clock
🕜,one-thirty,1 | 1:30 | 30 | clock | one | one-thirty | thirty | time,one-thirty | 1 | 1:30 | 30 | clock | one | one-thirty | thirty | time,time,Travel & Places,time,one-thirty
🕝,two-thirty,2 | 2:30 | 30 | clock | thirty | time | two | two-thirty,two-thirty | 2 | 2:30 | 30 | clock | thirty | time | two | two-thirty,time,Travel & Places,time,two-thirty
🕞,three-thirty,3 | 3:30 | 30 | clock | thirty | three | three-thirty | time,three-thirty | 3 | 3:30 | 30 | clock | thirty | three | three-thirty | time,time,Travel & Places,time,three-thirty
🕟,four-thirty,30 | 4 | 4:30 | clock | four | four-thirty | thirty | time,four-thirty | 30 | 4 | 4:30 | clock | four | four-thirty | thirty | time,time,Travel & Places,time,four-thirty
🕠,five-thirty,30 | 5 | 5:30 | clock | five | five-thirty | thirty | time,five-thirty | 30 | 5 | 5:30 | clock | five | five-thirty | thirty | time,time,Travel & Places,time,five-thirty
🕡,six-thirty,30 | 6 | 6:30 | clock | six | six-thirty | thirty,six-thirty | 30 | 6 | 6:30 | clock | six | six-thirty | thirty,time,Travel & Places,time,six-thirty
🕢,seven-thirty,30 | 7 | 7:30 | clock | seven | seven-thirty | thirty,seven-thirty | 30 | 7 | 7:30 | clock | seven | seven-thirty | thirty,time,Travel & Places,time,seven-thirty
🕣,eight-thirty,30 | 8 | 8:30 | clock | eight | eight-thirty | thirty | time,eight-thirty | 30 | 8 | 8:30 | clock | eight | eight-thirty | thirty | time,time,Travel & Places,time,eight-thirty
🕤,nine-thirty,30 | 9 | 9:30 | clock | nine | nine-thirty | thirty | time,nine-thirty | 30 | 9 | 9:30 | clock | nine | nine-thirty | thirty | time,time,Travel & Places,time,nine-thirty
🕥,ten-thirty,10 | 10:30 | 30 | clock | ten | ten-thirty | thirty | time,ten-thirty | 10 | 10:30 | 30 | clock | ten | ten-thirty | thirty | time,time,Travel & Places,time,ten-thirty
🕦,eleven-thirty,11 | 11:30 | 30 | clock | eleven | eleven-thirty | thirty | time,eleven-thirty | 11 | 11:30 | 30 | clock | eleven | eleven-thirty | thirty | time,time,Travel & Places,time,eleven-thirty
🕧,twelve-thirty,12 | 12:30 | 30 | clock | thirty | time | twelve | twelve-thirty,twelve-thirty | 12 | 12:30 | 30 | clock | thirty | time | twelve | twelve-thirty,time,Travel & Places,time,twelve-thirty
🕯,candle,candle | light,candle | candle | light,light and video,Objects,light & video,candle
🕰,mantelpiece clock,clock | mantelpiece | time,mantelpiece clock | clock | mantelpiece | time,time,Travel & Places,time,mantelpiece clock
🕳,hole,hole,hole | hole,emotion,Smileys & Emotion,emotion,hole
🕴,person in suit levitating,business | dark skin tone | levitating | person | suit,person in suit levitating | business | dark skin tone | levitating | person | suit,person activity,People & Body,person-activity,person in suit levitating
🕵,detective,dark skin tone | detective | sleuth | spy,detective | dark skin tone | detective | sleuth | spy,person role,People & Body,person-role,detective
🕵‍♀,woman detective,dark skin tone | detective | sleuth | spy | woman,woman detective | dark skin tone | detective | sleuth | spy | woman,person role,People & Body,person-role,woman detective
🕵‍♂,man detective,dark skin tone | detective | man | sleuth | spy,man detective | dark skin tone | detective | man | sleuth | spy,person role,People & Body,person-role,man detective
🕶,sunglasses,dark | eye | eyewear | glasses | sunglasses,sunglasses | dark | eye | eyewear | glasses | sunglasses,clothing,Objects,clothing,sunglasses
🕷,spider,animal | insect | spider,spider | animal | insect | spider,animal bug,Animals & Nature,animal-bug,spider
🕸,spider web,spider | web,spider web | spider | web,animal bug,Animals & Nature,animal-bug,spider web
🕹,joystick,game | joystick | video | videogame,joystick | game | joystick | video | videogame,game,Activities,game,joystick
🕺,man dancing,dance | dancer | dancing | dark skin tone | elegant | festive | flair | flamenco | groove | let’s | man | salsa | tango,man dancing | dance | dancer | dancing | dark skin tone | elegant | festive | flair | flamenco | groove | let’s | man | salsa | tango,person activity,People & Body,person-activity,man dancing
🖇,linked paperclips,link | linked | paperclip | paperclips,linked paperclips | link | linked | paperclip | paperclips,office,Objects,office,linked paperclips
🖊,pen,ballpoint | pen,pen | ballpoint | pen,writing,Objects,writing,pen
🖋,fountain pen,fountain | pen,fountain pen | fountain | pen,writing,Objects,writing,fountain pen
🖌,paintbrush,paintbrush | painting,paintbrush | paintbrush | painting,writing,Objects,writing,paintbrush
🖍,crayon,crayon,crayon | crayon,writing,Objects,writing,crayon
🖐,hand with fingers splayed,dark skin tone | finger | fingers | hand | raised | splayed | stop,hand with fingers splayed | dark skin tone | finger | fingers | hand | raised | splayed | stop,hand fingers open,People & Body,hand-fingers-open,hand with fingers splayed
🖕,middle finger,dark skin tone | finger | hand | middle,middle finger | dark skin tone | finger | hand | middle,hand single finger,People & Body,hand-single-finger,middle finger
